..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_27.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=27/system_1307__date_2013_02_27.snappy.000.parquet,1771377314.6828709
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_02_28.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=2/day=28/system_1307__date_2013_02_28.snappy.000.parquet,1771377314.9124615
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_01.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=1/system_1307__date_2013_03_01.snappy.000.parquet,1771377315.1240625
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_10.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=10/system_1307__date_2013_03_10.snappy.000.parquet,1771377315.3444839
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_11.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=11/system_1307__date_2013_03_11.snappy.000.parquet,1771377315.619651
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_12.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=12/system_1307__date_2013_03_12.snappy.000.parquet,1771377315.890324
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_13.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=13/system_1307__date_2013_03_13.snappy.000.parquet,1771377316.1504073
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_14.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=14/system_1307__date_2013_03_14.snappy.000.parquet,1771377316.388441
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_15.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=15/system_1307__date_2013_03_15.snappy.000.parquet,1771377316.633714
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_16.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=16/system_1307__date_2013_03_16.snappy.000.parquet,1771377316.8413413
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_17.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=17/system_1307__date_2013_03_17.snappy.000.parquet,1771377317.1411026
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_18.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=18/system_1307__date_2013_03_18.snappy.000.parquet,1771377317.3688157
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_19.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=19/system_1307__date_2013_03_19.snappy.000.parquet,1771377317.5815551
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_02.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=2/system_1307__date_2013_03_02.snappy.000.parquet,1771377317.8428035
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_20.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=20/system_1307__date_2013_03_20.snappy.000.parquet,1771377318.08256
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_21.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=21/system_1307__date_2013_03_21.snappy.000.parquet,1771377318.29732
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_22.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=22/system_1307__date_2013_03_22.snappy.000.parquet,1771377318.5386066
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_23.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=23/system_1307__date_2013_03_23.snappy.000.parquet,1771377318.7656994
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_24.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=24/system_1307__date_2013_03_24.snappy.000.parquet,1771377318.9895241
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_25.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=25/system_1307__date_2013_03_25.snappy.000.parquet,1771377319.195011
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_26.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=26/system_1307__date_2013_03_26.snappy.000.parquet,1771377319.452993
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_27.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=27/system_1307__date_2013_03_27.snappy.000.parquet,1771377319.6799982
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_28.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=28/system_1307__date_2013_03_28.snappy.000.parquet,1771377319.9010632
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_29.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=29/system_1307__date_2013_03_29.snappy.000.parquet,1771377320.7987063
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_03.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=3/system_1307__date_2013_03_03.snappy.000.parquet,1771377321.055923
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_30.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=30/system_1307__date_2013_03_30.snappy.000.parquet,1771377321.2851374
..\..\data\raw\systems\parquet\1307\system_1307__date_2013_03_31.snappy.000.parquet,pvdaq/parquet/pvdata/system_id=1307/year=2013/month=3/day=31/system_1307__date_2013_03_31.snappy.000.parquet,1771377321.5087938
